model,log,alg,time,mgtime,tcgtime,subtime,altime,aligntime,precomptime
g--10000--all-70,log,astar-sync,60000,0,0,0,0,0,0
c--100--all-10,log,astar-sync,137,0,0,0,0,0,0
i--100--all-70,log,astar-sync,135,0,0,0,0,0,0
e--10000--all-30,log,astar-sync,28204,0,0,0,0,0,0
h--10000--all-10,log,astar-sync,12552,0,0,0,0,0,0
h--10000--all-50,log,astar-sync,60000,0,0,0,0,0,0
c--10000--all-50,log,astar-sync,25182,0,0,0,0,0,0
a--10000--all-50,log,astar-sync,43079,0,0,0,0,0,0
i--1000--all-30,log,astar-sync,3544,0,0,0,0,0,0
c--1000--all-30,log,astar-sync,3626,0,0,0,0,0,0
c--1000--all-70,log,astar-sync,1260,0,0,0,0,0,0
a--1000--all-30,log,astar-sync,15434,0,0,0,0,0,0
h--10--all-10,log,astar-sync,117,0,0,0,0,0,0
h--1000--all-10,log,astar-sync,2514,0,0,0,0,0,0
d--100--all-10,log,astar-sync,457,0,0,0,0,0,0
b--10--all-50,log,astar-sync,33,0,0,0,0,0,0
f--100--all-10,log,astar-sync,1339,0,0,0,0,0,0
h--100--all-70,log,astar-sync,2329,0,0,0,0,0,0
b--100--all-70,log,astar-sync,72,0,0,0,0,0,0
g--10000--all-10,log,astar-sync,60000,0,0,0,0,0,0
c--100--all-50,log,astar-sync,166,0,0,0,0,0,0
e--100--all-50,log,astar-sync,140,0,0,0,0,0,0
i--1000--all-50,log,astar-sync,1135,0,0,0,0,0,0
i--100--all-30,log,astar-sync,382,0,0,0,0,0,0
d--10000--all-30,log,astar-sync,60000,0,0,0,0,0,0
c--10000--all-70,log,astar-sync,10692,0,0,0,0,0,0
d--1000--all-30,log,astar-sync,6805,0,0,0,0,0,0
a--1000--all-10,log,astar-sync,7393,0,0,0,0,0,0
b--10000--all-10,log,astar-sync,4733,0,0,0,0,0,0
b--1000--all-10,log,astar-sync,489,0,0,0,0,0,0
d--1000--all-10,log,astar-sync,3317,0,0,0,0,0,0
i--10000--all-10,log,astar-sync,10644,0,0,0,0,0,0
g--1000--all-50,log,astar-sync,60000,0,0,0,0,0,0
f--1000--all-10,log,astar-sync,10144,0,0,0,0,0,0
e--1000--all-30,log,astar-sync,2101,0,0,0,0,0,0
f--100--all-50,log,astar-sync,3538,0,0,0,0,0,0
h--1000--all-50,log,astar-sync,13369,0,0,0,0,0,0
c--1000--all-10,log,astar-sync,1002,0,0,0,0,0,0
g--1000--all-10,log,astar-sync,60000,0,0,0,0,0,0
e--1000--all-70,log,astar-sync,1103,0,0,0,0,0,0
e--10--all-50,log,astar-sync,38,0,0,0,0,0,0
a--10000--all-70,log,astar-sync,20948,0,0,0,0,0,0
a--10--all-10,log,tcg,390,3,369,1,1,2,372
a--10--all-30,log,tcg,427,4,398,0,1,1,402
a--10--all-50,log,tcg,342,3,325,0,1,2,328
a--10--all-70,log,tcg,390,2,375,0,1,2,377
a--100--all-10,log,tcg,355,1,332,3,2,5,333
a--100--all-30,log,tcg,327,1,305,3,1,5,306
a--100--all-50,log,tcg,334,1,310,3,1,5,311
a--100--all-70,log,tcg,334,1,310,3,2,6,311
a--1000--all-10,log,tcg,474,2,299,28,13,52,301
a--1000--all-30,log,tcg,483,1,309,33,13,49,310
a--1000--all-50,log,tcg,493,1,306,30,14,55,307
a--1000--all-70,log,tcg,484,1,290,33,14,51,291
a--10000--all-10,log,tcg,2009,1,321,315,121,462,322
a--10000--all-30,log,tcg,2360,1,379,475,139,643,380
a--10000--all-50,log,tcg,2455,2,366,540,131,699,368
a--10000--all-70,log,tcg,2037,1,308,323,129,480,309
b--10--all-10,log,tcg,116,1,109,0,1,1,110
b--10--all-30,log,tcg,119,0,112,1,0,1,112
b--10--all-50,log,tcg,116,0,111,1,0,1,111
b--10--all-70,log,tcg,116,0,110,0,1,1,110
b--100--all-10,log,tcg,126,1,111,2,0,3,112
b--100--all-30,log,tcg,130,1,116,2,1,3,117
b--100--all-50,log,tcg,151,0,127,2,1,3,127
b--100--all-70,log,tcg,126,0,113,2,1,3,113
b--1000--all-10,log,tcg,211,1,109,16,8,30,110
b--1000--all-30,log,tcg,232,1,109,17,9,32,110
b--1000--all-50,log,tcg,223,0,113,18,9,31,113
b--1000--all-70,log,tcg,243,0,112,18,9,32,112
b--10000--all-10,log,tcg,1222,1,104,209,80,319,105
b--10000--all-30,log,tcg,1201,1,106,199,113,346,107
b--10000--all-50,log,tcg,1193,0,105,192,87,305,105
b--10000--all-70,log,tcg,1223,0,105,208,91,341,105
c--10--all-10,log,tcg,325,1,319,0,0,0,320
c--10--all-30,log,tcg,308,1,301,0,0,0,302
c--10--all-50,log,tcg,324,1,315,0,0,0,316
c--10--all-70,log,tcg,326,2,317,1,0,1,319
c--100--all-10,log,tcg,340,0,315,2,2,5,315
c--100--all-30,log,tcg,332,1,313,2,2,4,314
c--100--all-50,log,tcg,339,1,319,2,1,4,320
c--100--all-70,log,tcg,320,1,302,2,1,3,303
c--1000--all-10,log,tcg,484,1,306,20,13,43,307
c--1000--all-30,log,tcg,491,1,311,21,15,40,312
c--1000--all-50,log,tcg,474,1,311,22,13,37,312
c--1000--all-70,log,tcg,480,1,321,23,14,46,322
c--10000--all-10,log,tcg,2278,0,335,214,123,360,335
c--10000--all-30,log,tcg,1888,1,323,224,131,378,324
c--10000--all-50,log,tcg,2089,0,545,221,140,384,545
c--10000--all-70,log,tcg,1911,1,309,260,134,426,310
d--10--all-10,log,tcg,236,1,230,0,0,0,231
d--10--all-30,log,tcg,222,1,215,0,0,0,216
d--10--all-50,log,tcg,228,2,220,0,1,1,222
d--10--all-70,log,tcg,232,1,226,1,0,1,227
d--100--all-10,log,tcg,239,2,223,1,1,2,225
d--100--all-30,log,tcg,236,1,221,1,1,2,222
d--100--all-50,log,tcg,238,2,221,1,1,3,223
d--100--all-70,log,tcg,240,2,223,1,2,3,225
d--1000--all-10,log,tcg,334,1,218,15,11,33,219
d--1000--all-30,log,tcg,341,1,225,11,11,29,226
d--1000--all-50,log,tcg,360,2,225,15,11,34,227
d--1000--all-70,log,tcg,337,1,225,11,11,29,226
d--10000--all-10,log,tcg,1510,1,256,265,97,380,257
d--10000--all-30,log,tcg,1330,1,211,124,105,253,212
d--10000--all-50,log,tcg,1348,1,212,134,107,266,213
d--10000--all-70,log,tcg,1334,1,238,127,112,259,239
e--10--all-10,log,tcg,328,0,321,0,1,1,321
e--10--all-30,log,tcg,348,1,341,0,0,1,342
e--10--all-50,log,tcg,334,1,326,1,0,1,327
e--10--all-70,log,tcg,332,1,324,0,0,1,325
