model,log,alg,time
g-45-20-20-10-5--20-20-20--10--75--2--all-10,log,A*-sync,376
g-45-20-20-10-5--20-20-20--10--25--30--all-10,log,A*-sync,31
g-45-20-20-10-5--20-20-20--10--75--15--add-30,log,A*-sync,3156
g-45-20-20-10-5--20-20-20--10--50--14--rem-50,log,A*-sync,6039
g-45-20-20-10-5--20-20-20--10--25--14--rem-50,log,A*-sync,14
g-45-20-20-10-5--20-20-20--10--25--27--all-10,log,A*-sync,56
g-45-20-20-10-5--20-20-20--10--75--28--all-50,log,A*-sync,53
g-45-20-20-10-5--20-20-20--10--75--11--add-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--23--rem-50,log,A*-sync,849
g-45-20-20-10-5--20-20-20--10--75--23--add-50,log,A*-sync,30897
g-45-20-20-10-5--20-20-20--10--25--26--all-70,log,A*-sync,365
g-45-20-20-10-5--20-20-20--10--75--26--add-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--19--add-10,log,A*-sync,11611
g-45-20-20-10-5--20-20-20--10--75--26--add-30,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--1--add-70,log,A*-sync,52
g-45-20-20-10-5--20-20-20--10--25--26--all-50,log,A*-sync,452
g-45-20-20-10-5--20-20-20--10--75--18--rem-30,log,A*-sync,105
g-45-20-20-10-5--20-20-20--10--50--1--all-70,log,A*-sync,1125
g-45-20-20-10-5--20-20-20--10--75--27--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--75--8--all-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--1--rem-10,log,A*-sync,41
g-45-20-20-10-5--20-20-20--10--75--9--rem-70,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--25--20--add-10,log,A*-sync,17
g-45-20-20-10-5--20-20-20--10--50--5--add-50,log,A*-sync,34660
g-45-20-20-10-5--20-20-20--10--50--13--rem-70,log,A*-sync,70
g-45-20-20-10-5--20-20-20--10--50--2--add-50,log,A*-sync,30723
g-45-20-20-10-5--20-20-20--10--25--2--rem-50,log,A*-sync,31
g-45-20-20-10-5--20-20-20--10--25--8--all-50,log,A*-sync,336
g-45-20-20-10-5--20-20-20--10--50--27--rem-10,log,A*-sync,324
g-45-20-20-10-5--20-20-20--10--75--22--all-70,log,A*-sync,27
g-45-20-20-10-5--20-20-20--10--25--9--all-50,log,A*-sync,200
g-45-20-20-10-5--20-20-20--10--50--25--rem-10,log,A*-sync,218
g-45-20-20-10-5--20-20-20--10--75--21--add-30,log,A*-sync,112
g-45-20-20-10-5--20-20-20--10--25--30--add-30,log,A*-sync,27
g-45-20-20-10-5--20-20-20--10--25--16--add-30,log,A*-sync,58
g-45-20-20-10-5--20-20-20--10--75--27--add-10,log,A*-sync,23574
g-45-20-20-10-5--20-20-20--10--50--23--rem-30,log,A*-sync,3878
g-45-20-20-10-5--20-20-20--10--50--15--rem-70,log,A*-sync,14291
g-45-20-20-10-5--20-20-20--10--25--29--all-50,log,A*-sync,61
g-45-20-20-10-5--20-20-20--10--25--26--all-30,log,A*-sync,399
g-45-20-20-10-5--20-20-20--10--75--14--add-70,log,A*-sync,37
g-45-20-20-10-5--20-20-20--10--50--15--all-30,log,A*-sync,29934
g-45-20-20-10-5--20-20-20--10--25--28--add-10,log,A*-sync,10
g-45-20-20-10-5--20-20-20--10--75--20--rem-30,log,A*-sync,186
g-45-20-20-10-5--20-20-20--10--75--26--rem-10,log,A*-sync,318
g-45-20-20-10-5--20-20-20--10--50--9--add-70,log,A*-sync,54
g-45-20-20-10-5--20-20-20--10--75--1--rem-10,log,A*-sync,40
g-45-20-20-10-5--20-20-20--10--75--3--rem-70,log,A*-sync,2392
g-45-20-20-10-5--20-20-20--10--25--21--all-50,log,A*-sync,113
g-45-20-20-10-5--20-20-20--10--75--9--all-50,log,A*-sync,60000
g-45-20-20-10-5--20-20-20--10--50--5--rem-30,log,A*-sync,1834
g-45-20-20-10-5--20-20-20--10--50--28--rem-30,log,A*-sync,13
g-45-20-20-10-5--20-20-20--10--50--27--rem-50,log,A*-sync,256
g-45-20-20-10-5--20-20-20--10--75--3--rem-10,log,A*-sync,174
g-45-20-20-10-5--20-20-20--10--75--27--add-30,log,A*-sync,60000
